source,target,value
Bobby Mahon,Pokey Burke,1
Bobby Mahon,Jason,1
Bobby Mahon,Mickey Briars,1
Bobby Mahon,Jim Gildea,1
Bobby Mahon,Bridie,1
Bobby Mahon,Michael,1
Pokey Burke,Bobby Mahon,1
Pokey Burke,Timmy Hanrahan,1
Pokey Burke,Seanie 'Shaper' Shanahan,1
Pokey Burke,Mickey Briars,1
Pokey Burke,Rory Slattery,1
Pokey Burke,Vasya Afanasiev,1
Pokey Burke,Josie Burke,1
Pokey Burke,Eileen Burke,1
Pokey Burke,Eamon Burke,1
Pokey Burke,Mags Burke,1
Pokey Burke,Dorothy,1
Frank Mahon,Denis,1
Frank Mahon,Jim Gildea,1
Frank Mahon,Bridie,1
Frank Mahon,Michael,1
Denis,Frank Mahon,1
Jason,Bobby Mahon,1
Timmy Hanrahan,Pokey Burke,1
Timmy Hanrahan,Seanie 'Shaper' Shanahan,1
Timmy Hanrahan,Mickey Briars,1
Timmy Hanrahan,Vasya Afanasiev,1
Timmy Hanrahan,Lloyd,1
Timmy Hanrahan,Realtin,1
Timmy Hanrahan,Jim Gildea,1
Timmy Hanrahan,Trevor,1
Seanie 'Shaper' Shanahan,Pokey Burke,1
Seanie 'Shaper' Shanahan,Timmy Hanrahan,1
Seanie 'Shaper' Shanahan,Mickey Briars,1
Seanie 'Shaper' Shanahan,Rory Slattery,1
Seanie 'Shaper' Shanahan,Vasya Afanasiev,1
Seanie 'Shaper' Shanahan,Dylan,1
Seanie 'Shaper' Shanahan,Tom,1
Seanie 'Shaper' Shanahan,Hillary,1
Mickey Briars,Bobby Mahon,1
Mickey Briars,Pokey Burke,1
Mickey Briars,Timmy Hanrahan,1
Mickey Briars,Seanie 'Shaper' Shanahan,1
Mickey Briars,Rory Slattery,1
Mickey Briars,Vasya Afanasiev,1
Rory Slattery,Pokey Burke,1
Rory Slattery,Seanie 'Shaper' Shanahan,1
Rory Slattery,Mickey Briars,1
Rory Slattery,Vasya Afanasiev,1
Rory Slattery,Realtin,1
Vasya Afanasiev,Pokey Burke,1
Vasya Afanasiev,Timmy Hanrahan,1
Vasya Afanasiev,Seanie 'Shaper' Shanahan,1
Vasya Afanasiev,Mickey Briars,1
Vasya Afanasiev,Rory Slattery,1
Josie Burke,Pokey Burke,1
Josie Burke,Eamon Burke,1
Josie Burke,Lily,1
Josie Burke,Dorothy,1
Eileen Burke,Pokey Burke,1
Eileen Burke,Eamon Burke,1
Eileen Burke,Mags Burke,1
Eileen Burke,Dorothy,1
Eamon Burke,Pokey Burke,1
Eamon Burke,Josie Burke,1
Eamon Burke,Eileen Burke,1
Eamon Burke,Mags Burke,1
Eamon Burke,Dorothy,1
Mags Burke,Pokey Burke,1
Mags Burke,Eileen Burke,1
Mags Burke,Eamon Burke,1
Mags Burke,Dorothy,1
Lily,Josie Burke,1
Lily,Hughie,1
Lily,Millicent,1
Lily,Bernie McDermott,1
Hughie,Lily,1
Hughie,Millicent,1
Millicent,Lily,1
Millicent,Hughie,1
Dorothy,Pokey Burke,1
Dorothy,Josie Burke,1
Dorothy,Eileen Burke,1
Dorothy,Eamon Burke,1
Dorothy,Mags Burke,1
Dorothy,Trevor,1
Lloyd,Timmy Hanrahan,1
Lloyd,Dylan,1
Lloyd,Jim Gildea,1
Realtin,Timmy Hanrahan,1
Realtin,Rory Slattery,1
Realtin,George McSweeney,1
Realtin,Bridget,1
Dylan,Seanie 'Shaper' Shanahan,1
Dylan,Lloyd,1
Dylan,Jim Gildea,1
Dylan,Trevor,1
Dylan,Kate,1
Tom,Seanie 'Shaper' Shanahan,1
Tom,Bridget,1
Bernie McDermott,Lily,1
Jim Gildea,Bobby Mahon,1
Jim Gildea,Frank Mahon,1
